DISTRICT,TALUK,VILLAGES,N,P,K,temperature,humidity,ph,rainfall
Alappuzha,Ambalappuzha,Alappuzha,90,42,43,20.87974371,82.00274423,6.502985292,202.9355362
Alappuzha,Ambalappuzha,Ambalappuzha,85,58,41,21.77046169,80.31964408,7.038096361,226.6555374
Alappuzha,Ambalappuzha,Aryad South,60,55,44,23.00445915,82.3207629,7.840207144,263.9642476
Alappuzha,Ambalappuzha,Kalarkode,74,35,40,26.49109635,80.15836264,6.980400905,242.8640342
Alappuzha,Ambalappuzha,Kalavoor,78,42,42,20.13017482,81.60487287,7.628472891,262.7173405
Alappuzha,Ambalappuzha,Karumady,69,37,42,23.05804872,83.37011772,7.073453503,251.0549998
Alappuzha,Ambalappuzha,Komalapuram,69,55,38,22.70883798,82.63941394,5.70080568,271.3248604
Alappuzha,Ambalappuzha,Mannanchery,94,53,40,20.27774362,82.89408619,5.718627178,241.9741949
Alappuzha,Ambalappuzha,Mullakkal,89,54,38,24.51588066,83.5352163,6.685346424,230.4462359
Alappuzha,Ambalappuzha,Pathirappally,68,58,38,23.22397386,83.03322691,6.336253525,221.2091958
Alappuzha,Ambalappuzha,Punnapra,91,53,40,26.52723513,81.41753846,5.386167788,264.6148697
Alappuzha,Ambalappuzha,Purakkad,90,46,42,23.97898217,81.45061596,7.50283396,250.0832336
Alappuzha,Chengannur,Ala,78,58,44,26.80079604,80.88684822,5.108681786,284.4364567
Alappuzha,Chengannur,Chengannur,93,56,36,24.01497622,82.05687182,6.98435366,185.2773389
Alappuzha,Chengannur,Cheriyanad,94,50,37,25.66585205,80.66385045,6.94801983,209.5869708
Alappuzha,Chengannur,Ennakkad,60,48,39,24.28209415,80.30025587,7.042299069,231.0863347
Alappuzha,Chengannur,Kurattissery,1,8,26,27.5136304,94.18955816,5.562911913,156.6732553
Alappuzha,Chengannur,Mannar,31,13,33,27.63834933,95.48763389,5.85971872,205.5463111
Alappuzha,Chengannur,Mulakuzha,10,9,28,29.01256899,94.01014388,6.282955073,150.0500312
Alappuzha,Chengannur,Pandanad,36,27,26,26.58413917,95.78923137,6.25449571,171.6262299
Alappuzha,Chengannur,Puliyoor,38,24,33,28.28905147,97.00396405,5.973853124,142.9403233
Alappuzha,Chengannur,Thiruvanvandoor,11,6,25,28.69164799,96.65248672,6.081568052,178.9635457
Alappuzha,Chengannur,Venmony,16,14,30,29.70931288,96.30484325,6.37466756,209.8453993
Alappuzha,Cherthala,Arookutty,33,14,35,27.14865285,96.66355213,6.027707171,149.2433497
Alappuzha,Cherthala,Aroor,22,30,12,15.78144173,92.51077745,6.354006744,119.035002
Alappuzha,Cherthala,Cherthala,37,6,13,26.03097313,91.50819306,7.511755068,101.2847738
Alappuzha,Cherthala,Cherthala North,27,13,6,13.36050601,91.35608208,7.335158382,111.2266885
Alappuzha,Cherthala,Cherthala South,7,16,9,18.87957654,92.04304496,7.813916603,114.6659511
Alappuzha,Cherthala,Ezhupunna,20,7,9,29.47741671,91.57802915,7.129136941,111.1727497
Alappuzha,Cherthala,Kadakkarappally,26,27,10,28.06903173,92.91487288,6.079998496,114.1339416
Alappuzha,Cherthala,Kanjikkuzhi,5,23,15,25.66901098,92.04670813,7.408939392,112.5424199
Alappuzha,Cherthala,Kodamthuruth,0,18,14,29.77149434,92.00719952,7.207991261,114.4161786
